title,country,location,building_construction_year,building_total_floors,apartment_floor,apartment_rooms,apartment_bedrooms,apartment_bathrooms,apartment_total_area,apartment_living_area,price_in_USD,image,url
2 room apartment,Montenegro,Montenegro,2023,,4,3,2,1,86.0,75.0,336948.0,https://realting.com/uploads/bigSlider/48a/76a6d03afd3507d4ead2fa30372ea.webp,https://realting.com/property-for-sale/montenegro/zuma-real-estate-ltd/1363640
1 room apartment,Montenegro,"Budva Municipality, Montenegro",2014,,4,3,1,1,51.0,75.0,228255.0,https://realting.com/uploads/bigSlider/cea/e6f748a0e1d496ab9d47efa7fabbc.webp,https://realting.com/property-for-sale/montenegro/md-realty/569563
1 room apartment,Montenegro,"Bar, Bar Municipality, Montenegro",2023,,4,3,1,1,47.0,75.0,271732.0,https://realting.com/uploads/bigSlider/c21/0befeb98baa55c27af2e81b407cac.webp,https://realting.com/property-for-sale/montenegro/zuma-real-estate-ltd/1741704
3 room apartment,Montenegro,"Bar, Bar Municipality, Montenegro",2023,,1,4,3,1,100.0,75.0,284716.0,https://realting.com/uploads/bigSlider/ce1/3d8239a5ab1b1.webp,https://realting.com/property-for-sale/montenegro/red-feniks-montenegro/1519656
3 room apartment,Uzbekistan,"Shaykhontohur Tumani, Uzbekistan",2023,16,14,3,2,1,76.0,75.0,105261.0,https://realting.com/uploads/bigSlider/743/4b4fc6bc9e06882c4d18c8544f68c.webp,https://realting.com/uzbekistan/property/1760546
3 room apartment,Uzbekistan,"Olmazor district, Uzbekistan",2023,13,12,3,2,1,81.0,75.0,121000.0,https://realting.com/uploads/bigSlider/c96/d7183205d77c93dffbdf06ddb53ea.webp,https://realting.com/uzbekistan/property/1766899
3 room apartment,Turkey,"Istanbul, Turkey",2023,,4,1,3,3,141.0,75.0,336000.0,https://realting.com/uploads/bigSlider/53a/8aa47ac325cb3.webp,https://realting.com/property-for-sale/turkey/trem-global/1272554
3 room apartment,Turkey,"Mediterranean Region, Alanya, Turkey",2023,11,7,3,2,1,110.0,75.0,308855.0,https://realting.com/uploads/bigSlider/673/fc4940cc33867.webp,https://realting.com/property-for-sale/turkey/zera-homes/1630113
3 room apartment,Turkey,"Sekerhane Mahallesi, Alanya, Turkey",2023,3,3,3,2,1,80.0,75.0,273580.0,https://realting.com/uploads/bigSlider/46f/eaa0a56c6a42b.webp,https://realting.com/property-for-sale/turkey/renaissance-estate/1559458
4 room apartment,Turkey,"Mediterranean Region, Alanya, Turkey",2023,,4,4,2,1,132.0,75.0,282601.0,https://realting.com/uploads/bigSlider/312/89ae6ed28fa44ee062482cdb763e2.webp,https://realting.com/property-for-sale/turkey/ip-puh-elena-yurevna/1707143
1 room apartment,Montenegro,"Kolašin Municipality, Montenegro",2023,,4,3,1,1,45.0,75.0,279647.0,https://realting.com/uploads/bigSlider/dac/94a2085df842deb0854332aa91507.webp,https://realting.com/property-for-sale/montenegro/leo-estate/1672847
3 room apartment,Turkey,"Sekerhane Mahallesi, Alanya, Turkey",2023,3,3,3,2,1,100.0,75.0,197909.0,https://realting.com/uploads/bigSlider/741/f8cd9e6823233.webp,https://realting.com/property-for-sale/turkey/renaissance-estate/1556281
multilevel apartments 3 bedrooms,Montenegro,"Bar Municipality, Montenegro",2023,,5,4,3,2,95.0,75.0,271868.0,https://realting.com/uploads/bigSlider/da3/32baaf0608af4412e024c4e5b0e7f.webp,https://realting.com/property-for-sale/montenegro/peters-group-real-estate/1749586
2 room apartment,Montenegro,"Bar, Bar Municipality, Montenegro",2023,,4,3,2,2,100.0,75.0,268143.0,https://realting.com/uploads/bigSlider/3cc/cad191e186b59.webp,https://realting.com/property-for-sale/montenegro/dream-estates-montenegro/1272225
2 room apartment,Montenegro,"Kotor Municipality, Montenegro",2023,,4,3,2,1,108.0,75.0,307601.0,https://realting.com/uploads/bigSlider/b43/bb26c8a516b916731f4eeae671eaa.webp,https://realting.com/property-for-sale/montenegro/zuma-real-estate-ltd/1363931
4 room apartment,Montenegro,Montenegro,2023,,4,3,4,1,168.0,75.0,303036.0,https://realting.com/uploads/bigSlider/392/d4425d4ccb59b.webp,https://realting.com/property-for-sale/montenegro/tradegoria/1520407
