title,country,location,building_construction_year,building_total_floors,apartment_floor,apartment_rooms,apartment_bedrooms,apartment_bathrooms,apartment_total_area,apartment_living_area,price_in_USD,image,url
"6 room apartment 515 m² in Bahcelievler Mahallesi, Turkey",Turkey,"Bahcelievler Mahallesi, Marmara Region, Turkey",,,,,6.0,,515 m²,,2623845.0,https://realting.com/uploads/bigSlider/0fe/ce84406909a17d20505531ef2c3ac.webp,https://realting.com/property-for-sale/turkey/deniz-estate/1634094
"6 room apartment 284 m² in Bahcelievler Mahallesi, Turkey",Turkey,"Bahcelievler Mahallesi, Marmara Region, Turkey",,,,,6.0,,284 m²,,2407546.0,https://realting.com/uploads/bigSlider/723/965d05e958cf.webp,https://realting.com/property-for-sale/turkey/deniz-estate/1634671
"4 room apartment 293 m² in Ueskuedar, Turkey",Turkey,"Ueskuedar, Marmara Region, Turkey",2023.0,,,4.0,,1.0,293 m²,,2456458.0,https://realting.com/uploads/bigSlider/991/8df69d25b066d24548a8b15675aad.webp,https://realting.com/property-for-sale/turkey/ip-puh-elena-yurevna/1716900
"4 room apartment 305 m² in Istanbul, Turkey",Turkey,"Marmara Region, Istanbul, Turkey",,,,5.0,4.0,,305 m²,,2721058.0,https://realting.com/uploads/bigSlider/a7e/abfd57e53d5f81071d29d56bf05e0.webp,https://realting.com/property-for-sale/turkey/mercury-group/1575281
"Apartment 642 m² in Bahcelievler Mahallesi, Turkey",Turkey,"Bahcelievler Mahallesi, Marmara Region, Turkey",,,,,,,642 m²,,9598663.0,https://realting.com/uploads/bigSlider/d04/ef2a6731c9e6d561d0394dd9cfca5.webp,https://realting.com/property-for-sale/turkey/deniz-estate/1633964
"5 room apartment 569 m² in Bahcelievler Mahallesi, Turkey",Turkey,"Bahcelievler Mahallesi, Marmara Region, Turkey",,,,,5.0,,569 m²,,9585620.0,https://realting.com/uploads/bigSlider/041/5122ea2bf0fbce77016ee9a067249.webp,https://realting.com/property-for-sale/turkey/deniz-estate/1634161
"3 room apartment 642 m² in Beykoz, Turkey",Turkey,"Beykoz, Marmara Region, Turkey",2023.0,,,3.0,,1.0,642 m²,,9598663.0,https://realting.com/uploads/bigSlider/91e/5db468c4c1cb38036030990d91528.webp,https://realting.com/property-for-sale/turkey/ip-puh-elena-yurevna/1716880
"6 room apartment 638 m² in Kadikoey, Turkey",Turkey,"Kadikoey, Marmara Region, Turkey",,3.0,3.0,6.0,,,638 m²,,8793410.0,https://realting.com/uploads/bigSlider/f81/6f11e56e0066b.webp,https://realting.com/property-for-sale/turkey/renaissance-estate/1539138
"2 room apartment 254 m² in Esenyurt, Turkey",Turkey,"Esenyurt, Marmara Region, Turkey",,1.0,,3.0,2.0,2.0,254 m²,,10063728.0,https://realting.com/uploads/bigSlider/59f/406f88c1cf8c3.webp,https://realting.com/property-for-sale/turkey/viya-law-consulting/1345940
"Multilevel apartments 3 bedrooms 337 m² in Bornova, Turkey",Turkey,"Bornova, Aegean Region, Izmir, Turkey",2024.0,,,4.0,3.0,3.0,337 m²,134 m²,1330000.0,https://realting.com/uploads/bigSlider/cb8/6e3c4004b3307d2439b2c4e8e3364.webp,https://realting.com/property-for-sale/turkey/startkey-vizyon-gayrimenkul/1693854
